dataset,setting,model,mse,nmse,mae,nmae,relative_nmse_improvement_pct,relative_mse_improvement_pct,win_rate_pct,dates
ETTh1,512:64,Vanilla (chronos2),13.120400136959542,0.8080308154979291,1.7737260838667492,0.6101446570265672,0.0,0.0,0.0,27
ETTh1,512:64,Vanilla (chronos_bolt),12.354771476177005,0.7840194871765954,1.7410046677322253,0.6016301969447684,0.0,0.0,0.0,27
ETTh1,512:64,Online full ridge (chronos2),15.293377029656105,0.9781030021301186,1.9768074615617035,0.6791521355142683,-21.0477352311603,-16.56181877087262,39.153439153439145,27
ETTh1,512:64,TS-RAG (chronos_bolt),12.188482829687304,0.8502357731017578,1.7727248353483869,0.6220499580420594,-8.445744909175655,1.3459467608150057,50.79365079365079,27
ETTh2,512:64,Vanilla (chronos2),17.10783311591169,1.0490867468183203,2.4712539067101216,0.7385979226025957,0.0,0.0,0.0,27
ETTh2,512:64,Vanilla (chronos_bolt),16.34277096567123,1.0526335944259924,2.4372331171795305,0.7398798976975917,0.0,0.0,0.0,27
ETTh2,512:64,Online full ridge (chronos2),20.352925786695664,1.2073595161453912,2.7748252623460385,0.8176984732938272,-15.08671897791884,-18.96846110665981,36.50793650793651,27
ETTh2,512:64,TS-RAG (chronos_bolt),15.85980333828429,1.0413438751865098,2.4658094744333376,0.7509661634639234,1.0725212741893226,2.955237079448996,44.97354497354497,27
ETTm1,512:64,Vanilla (chronos2),6.76265082486067,0.6056941563032342,1.1976443875547007,0.5061437482923933,0.0,0.0,0.0,110
ETTm1,512:64,Vanilla (chronos_bolt),7.582648503259966,0.6235413908630879,1.258362932703133,0.5198129573768496,0.0,0.0,0.0,110
ETTm1,512:64,Online full ridge (chronos2),10.069724935277126,0.8157810966457779,1.5470197994865624,0.6082633022853325,-34.68531735963554,-48.90203850624789,34.93506493506493,110
ETTm1,512:64,TS-RAG (chronos_bolt),9.125966389166367,0.7619636219035469,1.4694158396068764,0.5995225289880015,-22.199365281727168,-20.353282698556985,35.32467532467533,110
ETTm2,512:64,Vanilla (chronos2),8.677954725646098,1.6015870056029273,1.7206050981879357,0.6946997833246534,0.0,0.0,0.0,110
ETTm2,512:64,Vanilla (chronos_bolt),8.16462879544005,1.5851803719486184,1.729788523629102,0.7047370934461933,0.0,0.0,0.0,110
ETTm2,512:64,Online full ridge (chronos2),10.939673334635296,1.8566893543664273,2.042738449434017,0.8026678563785589,-15.928098059678323,-26.062807199317437,35.58441558441558,110
ETTm2,512:64,TS-RAG (chronos_bolt),10.760610419334572,1.7396960570463265,1.9656398271128854,0.7717246535108576,-9.747514404797116,-31.79546417767797,43.766233766233775,110
Electricity,512:64,Vanilla (chronos2),4099043.767263158,0.1963767658660537,190.31750321940862,0.24777305804035182,0.0,0.0,0.0,41
Electricity,512:64,Vanilla (chronos_bolt),4055980.8660217617,0.19364735256174323,191.06925011376205,0.24884199734168488,0.0,0.0,0.0,41
Electricity,512:64,Online full ridge (chronos2),4844811.426380125,0.22741677829085868,213.18875393847338,0.27642653361005043,-15.806356871146866,-18.19369837114229,34.51375859912445,41
Electricity,512:64,TS-RAG (chronos_bolt),4074706.313567465,0.19775054998298358,193.4605425030868,0.2535340236056885,-2.1189018940664694,-0.4616749477930854,48.725766103814884,41
Solar,512:64,Vanilla (chronos2),835.2319731209845,0.2958133863376478,12.75801473999725,0.25648613118329666,0.0,0.0,0.0,14
Solar,512:64,Vanilla (chronos_bolt),503.01941201996624,0.1768040858309002,9.814579577383752,0.19763932657160868,0.0,0.0,0.0,14
Solar,512:64,Online full ridge (chronos2),798.4086873003046,0.28802890419211474,13.564389966779661,0.2739456825101531,2.6315516826029266,4.408749545720046,53.80604796663191,14
Solar,512:64,TS-RAG (chronos_bolt),515.9467195102367,0.18029899976990607,10.076620000563924,0.20265923098627953,-1.9767155960120082,-2.569942070099934,37.95620437956204,14
time/coastal_t_s_h_part11,512:64,Vanilla (chronos2),0.06366196662495863,1.4823666122237158,0.11485371523751663,0.7107931111404067,0.0,0.0,0.0,13
time/coastal_t_s_h_part11,512:64,Vanilla (chronos_bolt),0.05956543656583779,1.5014913057363377,0.11525988301787621,0.7315243153318818,0.0,0.0,0.0,13
time/coastal_t_s_h_part11,512:64,Online full ridge (chronos2),0.05549039170552346,1.5063259548823096,0.11676737513111689,0.7399050613244653,-1.6162899556036336,12.835882007188115,48.71794871794872,13
time/coastal_t_s_h_part11,512:64,TS-RAG (chronos_bolt),0.07866836357631254,1.879434902335422,0.1309785422606346,0.8085271060505815,-25.171214455600136,-32.070489384158634,35.89743589743589,13
time/ne_china_wind_h,512:64,Vanilla (chronos2),0.255417074250376,0.8403987509608958,0.36725027665028165,0.6792538040025494,0.0,0.0,0.0,14
time/ne_china_wind_h,512:64,Vanilla (chronos_bolt),0.264582799770659,0.844833100863065,0.37156667110886993,0.682599990821387,0.0,0.0,0.0,14
time/ne_china_wind_h,512:64,Online full ridge (chronos2),0.38941696945557974,1.3350144364919736,0.45235640610644934,0.8586884152336243,-58.854881086572746,-52.46317052157935,39.285714285714285,14
time/ne_china_wind_h,512:64,TS-RAG (chronos_bolt),0.38512168029350874,1.3764507694237793,0.4663903703059548,0.8991085291787242,-62.9257622621112,-45.55809396050427,28.57142857142857,14
